version	cc	vec	tcm	turns	points	alpha	threads	time(ms)	std(%)
v4-p100	nvcc	na	na	1000	500000	0	512X64	37.3	3.3
v4-p100	nvcc	na	na	1000	500000	1	512X64	43.3	3.9
v4-p100	nvcc	na	na	1000	1000000	0	512X64	59.3	3.5
v4-p100	nvcc	na	na	1000	1000000	1	512X64	72.0	3.0
v4-p100	nvcc	na	na	1000	2000000	0	512X64	105.3	1.2
v4-p100	nvcc	na	na	1000	2000000	1	512X64	126.3	3.6
v4-p100	nvcc	na	na	1000	4000000	0	512X64	191.0	0.9
v4-p100	nvcc	na	na	1000	4000000	1	512X64	231.3	0.8
v4-p100	nvcc	na	na	1000	7000000	0	512X64	323.0	0.7
v4-p100	nvcc	na	na	1000	7000000	1	512X64	392.0	0.4
v4-p100	nvcc	na	na	1000	14000000	0	512X64	636.7	1.0
v4-p100	nvcc	na	na	1000	14000000	1	512X64	755.0	0.1
v4-p100	nvcc	na	na	1000	28000000	0	512X64	1252.0	0.2
v4-p100	nvcc	na	na	1000	28000000	1	512X64	1507.0	0.4
